License_Plate,Make,Model,Color,Status,USER_ID
ZIQ058,BMW,5 Series,Gray,0,U007
CZU447,Chevrolet,Malibu,Gray,0,U024
OFU968,Mercedes,GLC,White,0,U030
LPT984,Toyota,Camry,Gold,0,U018
WFY098,Ford,F-150,Gray,0,U014
VSF998,Chevrolet,Malibu,Blue,0,U022
WWK487,BMW,3 Series,Brown,0,U002
DEJ323,Audi,Q7,Red,0,U023
CGQ101,Mercedes,C-Class,Brown,0,U027
CJN005,Audi,A6,Green,0,U007
AEK655,Nissan,Pathfinder,Blue,0,U016
LLC215,Toyota,RAV4,White,0,U025
CAL893,Honda,Accord,Red,0,U005
BXF301,Chevrolet,Malibu,Black,0,U008
BNJ235,Chevrolet,Silverado,White,0,U017
PEJ330,BMW,5 Series,Silver,0,U023
MCE791,Honda,Civic,White,0,U006
ABT952,Volkswagen,Tiguan,Red,0,U028
CCU654,Chevrolet,Equinox,Silver,0,U003
UED534,Ford,Explorer,Silver,0,U009
CTA496,Hyundai,Elantra,Gold,0,U020
SNF203,Toyota,RAV4,Blue,0,U018
RCO081,Audi,A6,Blue,0,U012
NOA186,BMW,X5,Red,0,U029
GPT013,Ford,Escape,Brown,0,U004
ZGD712,Volkswagen,Atlas,Brown,0,U029
OGK861,Volkswagen,Passat,Brown,1,U026
FGV734,Nissan,Altima,White,0,U011
KWB078,Chevrolet,Tahoe,Red,0,U019
XRG111,Ford,Mustang,Gold,0,U013
YNL230,Audi,A6,White,0,U010
CMZ771,BMW,X3,Gray,0,U027
MEU784,BMW,X5,Blue,0,U026
UCV643,Ford,Explorer,Blue,0,U015
RCQ697,Nissan,Rogue,Blue,1,U025
RIL976,Volkswagen,Atlas,Green,0,U021
WEW273,Hyundai,Santa,Gold,0,U001
